model,name,params,quantization,size
llama3.2:3b-instruct-q4_K_M,llama3.2,3b,q4_K_M,2
llama3.1:8b-instruct-q4_K_M,llama3.1,8b,q4_K_M,4.9
llama3.1:8b-instruct-fp16,llama3.1,8b,fp16,16
llama3.3:70b-instruct-q4_K_M,llama3.3,70b,q4_K_M,43
gemma2:2b-instruct-q4_K_M,gemma2,2b,q4_K_M,1.6
gemma2:9b-instruct-q4_K_M,gemma2,9b,q4_K_M,5.4
gemma2:9b-instruct-fp16,gemma2,9b,fp16,18
gemma2:27b-instruct-q4_K_M,gemma2,27b,q4_K_M,16
qwen2.5:3b-instruct-q4_K_M,qwen2.5,3b,q4_K_M,1.9
qwen2.5:7b-instruct-q4_K_M,qwen2.5,7b,q4_K_M,4.7
qwen2.5:7b-instruct-fp16,qwen2.5,7b,fp16,15
qwen2.5:72b-instruct-q4_K_M,qwen2.5,72b,q4_K_M,47
